,GDSC_cell
A498,A498
ACHN,ACHN
BT-549,BT-549
CAKI-1,CAKI-1
DU-145,DU-145
EKVX,EKVX
HCT-116,HCT-116
HCT-15,HCT-15
HOP-62,HOP-62
HOP-92,HOP-92
K-562,K-562
KM12,KM12
MCF7,MCF7
MDA-MB-468,MDA-MB-468
NCI-H226,NCI-H226
NCI-H23,NCI-H23
NCI-H322M,NCI-H322M
NCI-H460,NCI-H460
NCI-H522,NCI-H522
OVCAR-3,OVCAR-3
OVCAR-4,OVCAR-4
OVCAR-8,OVCAR-8
PC-3,PC-3
RPMI-8226,RPMI-8226
SK-MEL-28,SK-MEL-28
SK-MEL-5,SK-MEL-5
SK-OV-3,SK-OV-3
U251,U251
UACC-257,UACC-257
UACC-62,UACC-62
A549/ATCC,A549
HL-60(TB),HL-60
HS 578T,Hs-578-T
HT29,HT-29
IGROV1,IGROV-1
LOX IMVI,LOXIMVI
MDA-MB-231/ATCC,MDA-MB-231
SF-268,SF268
SF-295,SF295
SF-539,SF539
SW-620,SW620
T-47D,T47D
UO-31,U031